
(Peso)	ARS	28.881000000000000227373675443232059478759765625	26.766810199999998332032191683538258075714111328125	21.36455409999999943693183013238012790679931640625
(Dollar)	AUD	1.350986219940556676277765291160903871059417724609375	1.33609460000000002111164576490409672260284423828125	1.3012604000000000947778744375682435929775238037109375
(Dinar)	BHD	0.3780499999999999971578290569595992565155029296875	0.377774800000000021693580265491618774831295013427734375	0.377115199999999983759835231467150151729583740234375
(Taka)	BDT	83.6099999999999994315658113919198513031005859375	83.8040326999999933832441456615924835205078125	83.3048708000000033280230127274990081787109375
(Ruble)	BYN	1.9804999999999999271693695845897309482097625732421875	1.9956335999999998964682390578673221170902252197265625	1.975490900000000049629989007371477782726287841796875
(Boliviano)	BOB	6.86000000000000031974423109204508364200592041015625	6.854996299999999820329321664758026599884033203125	6.85856940000000037116478779353201389312744140625
(Real)	BRL	3.87650000000000005684341886080801486968994140625	3.797938999999999953871565594454295933246612548828125	3.43424640000000014339320841827429831027984619140625
(Dollar)	BND	1.34870000000000000994759830064140260219573974609375	1.33679579999999997852455635438673198223114013671875	1.3210285999999999972942532622255384922027587890625
(Lev)	BGN	1.6733000000000000095923269327613525092601776123046875	1.6727996999999998894992359055322594940662384033203125	1.6221308000000000948404021983151324093341827392578125
(Pound)	GBP	0.7571742257893541161450912113650701940059661865234375	0.7545745999999999842344777789548970758914947509765625	0.731062899999999959987917463877238333225250244140625
(Dollar)	CAD	1.3129999999999999449329379785922355949878692626953125	1.304241999999999901405089985928498208522796630859375	1.27858420000000005956053428235463798046112060546875
(Peso)	CLP	653.7100000000000363797880709171295166015625	641.84852369999998700222931802272796630859375	615.49824579999994966783560812473297119140625
(Renminbi)	CNY	6.61709999999999975983655531308613717555999755859375	6.5116969999999998464090822380967438220977783203125	6.390736000000000416321199736557900905609130859375
(Peso)	COP	2929.25	2908.6678301000001738430000841617584228515625	2868.6173263999999107909388840198516845703125
(Koruna)	CZK	22.217999999999999971578290569595992565155029296875	22.14824709999999896581357461400330066680908203125	21.19308600000000097907104645855724811553955078125
(Krone)	DKK	6.37629999999999963478103381930850446224212646484375	6.37024230000000013518501873477362096309661865234375	6.17712920000000043074805944343097507953643798828125
(Euro)	EUR	0.855944534794145450717905987403355538845062255859375	0.85568820000000000991491333479643799364566802978515625	0.8295803999999999955861085254582576453685760498046875
(Fijian Dollar)	FJD	2.1181952976064390981036922312341630458831787109375	2.11461200000000015819523468962870538234710693359375	2.073152900000000187219484359957277774810791015625
(Dollar)	HKD	7.846199999999999619149093632586300373077392578125	7.844650800000000145928424899466335773468017578125	7.83530809999999977577544996165670454502105712890625
(Forint)	HUF	281.6000000000000227373675443232059478759765625	277.354042400000025736517272889614105224609375	261.47892480000001569351297803223133087158203125
(Rupee)	INR	68.4500000000000028421709430404007434844970703125	67.931090699999998605562723241746425628662109375	65.671524199999993243181961588561534881591796875
(Rupiah)	IDR	14325	14104.372355400000742520205676555633544921875	13793.10344830000030924566090106964111328125
(Dinar)	IQD	1186.430000000000063664629124104976654052734375	1186.380353499999955602106638252735137939453125	1185.25542249999989508069120347499847412109375
(Yen)	JPY	110.659999999999996589394868351519107818603515625	109.727327599999995300095179118216037750244140625	109.042930200000000695581547915935516357421875
(Tenge)	KZT	341.31000000000000227373675443232059478759765625	335.25546470000000454092514701187610626220703125	327.4930408000000170432031154632568359375
(Dinar)	KWD	0.30237999999999998212985019563348032534122467041015625	0.30218990000000001128199755839887075126171112060546875	0.300701300000000004697398026110022328794002532958984375
(Ringitt)-b	MYR	4.038000000000000255795384873636066913604736328125	4.007775099999999923738869256339967250823974609375	3.94985739999999996285851011634804308414459228515625
(Peso)	MXN	19.90899999999999891997504164464771747589111328125	19.908500499999998822886482230387628078460693359375	19.084588600000000013778844731859862804412841796875
(Dirham)	MAD	9.478600000000000136424205265939235687255859375	9.4820434000000002328079062863253057003021240234375	9.3146903000000005334868546924553811550140380859375
(Dollar)	NZD	1.47841513897102316832388169132173061370849609375	1.4533826999999999163293296078336425125598907470703125	1.4087908000000000097173824542551301419734954833984375
(Krone)	NOK	8.141999999999999459987520822323858737945556640625	8.159561899999999923238647170364856719970703125	7.99598280000000016798367141745984554290771484375
(Guarani)	PYG	5671	5694.7608200000004217145033180713653564453125	5599.1041433000000324682332575321197509765625
(new Sol)	PEN	3.28019999999999978257392285740934312343597412109375	3.2755933999999999883812051848508417606353759765625	3.24858430000000009130189937422983348369598388671875
(Peso)	PHP	53.31099999999999994315658113919198513031005859375	52.92293360000000035370248951949179172515869140625	51.84194430000000153313521877862513065338134765625
(Zloty)	PLN	3.7416999999999998038902049302123486995697021484375	3.716328199999999970515318636898882687091827392578125	3.510970899999999783602788738789968192577362060546875
 (leu)	RON	3.988799999999999901234559729346074163913726806640625	3.986298300000000072174088927567936480045318603515625	3.861864199999999858192722967942245304584503173828125
(Ruble)-a	RUB	62.7854999999999989768184605054557323455810546875	62.56686830000000298923623631708323955535888671875	59.19541590000000041982275433838367462158203125
(Riyal)	SAR	3.75030000000000018900436771218664944171905517578125	3.750249900000000025102053768932819366455078125	3.750085299999999843834075363702140748500823974609375
(Dollar)	SGD	1.362600000000000033395508580724708735942840576171875	1.3498824000000000378207687390386126935482025146484375	1.3298091999999999135440020836540497839450836181640625
(Rand)	ZAR	13.722500000000000142108547152020037174224853515625	13.1887668999999991825688994140364229679107666015625	12.356830699999999723104338045231997966766357421875
(Won)	KRW	1113.910000000000081854523159563541412353515625	1096.491228099999943879083730280399322509765625	1077.237961900000073001137934625148773193359375
